Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1780411278,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1780411279,5,,Aggregated,0.000000,0.000000,340,340,340,340,340,340,340,340,340,340,340,1,0,344.83417600858957,344.83417600858957,344.83417600858957,344.83417600858957,301.0
1780411280,10,,Aggregated,0.000000,0.000000,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,5,0,1200.0,1031.1471196007915,344.83417600858957,1210.0275100092404,301.0
1780411281,10,,Aggregated,0.000000,0.000000,1200,1200,1300,1400,1400,2100,2100,2100,2100,2100,2100,20,1,1200.0,998.5846803960158,164.4503070274368,2054.6005869982764,5872.15
1780411282,10,,Aggregated,2.500000,0.000000,1100,1200,1200,1200,1400,1400,2100,2100,2100,2100,2100,27,3,1100.0,751.5219555158789,8.933854987844825,2054.6005869982764,6192.148148148148
1780411283,10,,Aggregated,3.000000,0.000000,250,1100,1200,1200,1400,1400,2100,2100,2100,2100,2100,40,3,190.0,530.9569194738287,8.933854987844825,2054.6005869982764,6530.9
1780411284,10,,Aggregated,5.750000,0.750000,160,390,1200,1200,1300,1400,2100,2100,2100,2100,2100,44,3,98,488.0368403405142,8.933854987844825,2054.6005869982764,6770.431818181818
1780411285,10,,Aggregated,6.000000,0.600000,71,260,1100,1200,1200,1400,1400,2100,2100,2100,2100,55,4,71,398.9952742545442,8.933854987844825,2054.6005869982764,7735.527272727273
1780411286,10,,Aggregated,7.000000,0.500000,62,160,370,1200,1200,1400,1400,2100,2100,2100,2100,64,4,60,349.51813060888526,8.933854987844825,2054.6005869982764,8249.53125
1780411287,10,,Aggregated,7.000000,0.571429,53,78,260,390,1200,1400,1400,2100,2100,2100,2100,73,4,53,311.9837427663311,8.933854987844825,2054.6005869982764,8403.890410958904
1780411288,10,,Aggregated,7.125000,0.500000,53,73,190,340,1200,1300,1400,2100,2100,2100,2100,81,5,53,285.68003260326446,6.607882969547063,2054.6005869982764,8303.95061728395
1780411289,10,,Aggregated,7.444444,0.444444,53,72,98,330,1200,1300,1400,2100,2100,2100,2100,89,5,53,264.576704752124,6.607882969547063,2054.6005869982764,8414.393258426966
1780411290,10,,Aggregated,7.600000,0.500000,52,68,88,260,1200,1300,1400,2100,2100,2100,2100,95,5,52,249.89889967255294,6.607882969547063,2054.6005869982764,8309.294736842105
1780411291,10,,Aggregated,8.200000,0.500000,52,62,83,190,1200,1200,1400,1400,2100,2100,2100,104,6,51,232.28972152887414,6.324716028757393,2054.6005869982764,8360.048076923076
1780411292,10,,Aggregated,8.700000,0.500000,52,62,83,160,1200,1200,1400,1400,2100,2100,2100,109,6,52,225.0630286609788,6.324716028757393,2054.6005869982764,8472.724770642202
1780411293,10,,Aggregated,8.700000,0.500000,50,62,83,160,1200,1200,1400,1400,2100,2100,2100,120,7,50,209.2830277091707,6.324716028757393,2054.6005869982764,8329.016666666666
1780411294,10,,Aggregated,8.200000,0.300000,49,61,78,98,1200,1200,1400,1400,2100,2100,2100,125,8,49,201.95957144070417,4.856623010709882,2054.6005869982764,8313.528
1780411295,10,,Aggregated,8.200000,0.300000,48,61,78,98,1100,1200,1400,1400,2100,2100,2100,135,8,48,191.191588897534,4.856623010709882,2054.6005869982764,8486.955555555556
1780411296,10,,Aggregated,7.800000,0.400000,48,60,74,91,390,1200,1400,1400,2100,2100,2100,145,10,48,180.95725858102327,4.567795025650412,2054.6005869982764,8411.151724137932
1780411297,10,,Aggregated,7.700000,0.400000,47,60,73,88,370,1200,1400,1400,2100,2100,2100,151,11,47,175.0285680743477,4.567795025650412,2054.6005869982764,8369.331125827815
1780411298,10,,Aggregated,8.000000,0.500000,47,58,72,88,370,1200,1400,1400,2100,2100,2100,159,11,47,169.25935478809248,4.567795025650412,2054.6005869982764,8391.647798742139
1780411299,10,,Aggregated,7.900000,0.700000,47,58,72,88,340,1200,1400,1400,2100,2100,2100,164,12,46,165.15509941666272,4.567795025650412,2054.6005869982764,8273.768292682927
1780411300,10,,Aggregated,7.600000,0.600000,46,58,70,78,330,1200,1400,1400,2100,2100,2100,176,13,45,156.6110053767757,4.567795025650412,2054.6005869982764,8391.727272727272
1780411301,10,,Aggregated,7.800000,0.700000,46,58,72,88,260,1200,1400,1400,2100,2100,2100,185,13,46,153.2377872392661,4.567795025650412,2054.6005869982764,8324.881081081081
1780411302,10,,Aggregated,7.600000,0.700000,45,58,72,88,250,1200,1400,1400,2100,2100,2100,193,13,45,148.76971519316928,4.567795025650412,2054.6005869982764,8437.766839378239
1780411303,10,,Aggregated,8.200000,0.800000,46,58,72,88,250,1200,1400,1400,2100,2100,2100,199,13,46,147.28350452429396,4.567795025650412,2054.6005869982764,8450.603015075378
