Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /customers,272,0,81,123.02705987360027,40.69980495842174,3817.0434329658747,17679.0,4.605449232387712,0.0,81,97,110,120,160,190,280,1600,3800,3800,3800
GET,GET /customers (find id),83,0,78,181.06115578550353,36.91486397292465,4055.235256033484,17679.0,1.4053392878241915,0.0,78,92,110,110,140,180,3800,4100,4100,4100,4100
GET,GET /customers/{id},82,0,52,67.1723460226331,22.790857998188585,235.8364390092902,1291.060975609756,1.3884074891757072,0.0,52,70,79,90,130,170,240,240,240,240,240
GET,GET /health,23,0,240.0,242.0136027807451,201.29798294510692,294.06753898365423,130.0,0.3894313689151374,0.0,240,250,260,260,280,280,290,290,290,290,290
GET,GET /inventory,96,0,67,84.22517883082037,33.03607599809766,368.3628289727494,4776.0,1.6254526702544865,0.0,68,79,86,93,150,230,320,370,370,370,370
GET,GET /products,304,0,57,157.01682995246588,27.218373026698828,3973.123856005259,13122.0,5.147266789139207,0.0,58,73,88,97,140,220,1500,3900,4000,4000,4000
GET,GET /sales-orders,202,0,38,99.67500157135603,13.189780991524458,3766.3718740222976,4443.0,3.420223326993815,0.0,39,51,63,72,110,160,270,1500,3800,3800,3800
GET,GET /users,34,0,41,52.44829667636248,16.91754098283127,128.45605099573731,596.0,0.575681154048464,0.0,43,68,72,77,90,110,130,130,130,130,130
POST,POST /auth/login,25,0,3500.0,3055.753687918186,2144.106928957626,3891.090854012873,301.0,0.4232949662121058,0.0,3500,3600,3600,3800,3900,3900,3900,3900,3900,3900,3900
,Aggregated,1121,0,66,190.62983900919036,13.189780991524458,4055.235256033484,10488.636039250669,18.980546284950826,0.0,66,84,98,110,170,280,3500,3800,4000,4100,4100
