Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1780411485,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1780411486,10,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1780411487,20,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1780411488,30,,Aggregated,0.000000,0.000000,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,10,0,2300.0,2303.737943287706,2288.0353319924325,2319.8954469989985,301.0
1780411489,40,,Aggregated,0.000000,0.000000,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,10,0,2300.0,2303.737943287706,2288.0353319924325,2319.8954469989985,301.0
1780411490,50,,Aggregated,0.000000,0.000000,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,10,0,2300.0,2303.737943287706,2288.0353319924325,2319.8954469989985,301.0
1780411491,50,,Aggregated,0.000000,0.000000,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,10,0,2300.0,2303.737943287706,2288.0353319924325,2319.8954469989985,301.0
1780411492,50,,Aggregated,2.500000,0.000000,4200,5100,5100,5200,5200,5200,5200,5200,5200,5200,5200,28,0,4200.0,3857.158953502741,2288.0353319924325,5202.3397570010275,758.8928571428571
1780411493,50,,Aggregated,2.500000,0.000000,4200,5100,5100,5200,5200,5200,5200,5200,5200,5200,5200,28,0,4200.0,3857.158953502741,2288.0353319924325,5202.3397570010275,758.8928571428571
1780411494,50,,Aggregated,2.500000,0.000000,4200,5100,5100,5200,5200,5200,5200,5200,5200,5200,5200,28,0,4200.0,3857.158953502741,2288.0353319924325,5202.3397570010275,758.8928571428571
1780411495,50,,Aggregated,3.500000,0.000000,4200,5100,5200,5200,5200,7500,7700,7700,7700,7700,7700,30,0,4200.0,4104.371558067699,2288.0353319924325,7669.693973963149,1456.8
1780411496,50,,Aggregated,3.111111,0.000000,5200,7200,7700,7900,7900,8700,8900,8900,8900,8900,8900,46,0,5100.0,5377.799177414525,2288.0353319924325,8881.183605000842,1709.9347826086957
1780411497,50,,Aggregated,2.900000,0.000000,5400,7200,7600,7900,8100,8900,9300,9300,9300,9300,9300,69,0,5400.0,5818.429374637123,2288.0353319924325,9276.749600016046,2548.913043478261
1780411498,50,,Aggregated,3.800000,0.000000,4200,5400,7200,7500,7900,8700,9300,10000,10000,10000,10000,123,0,4200.0,4072.0090147569713,18.576389993540943,10023.34840898402,6016.032520325203
1780411499,50,,Aggregated,6.700000,0.000000,2200,5100,5600,7100,7900,8400,9300,10000,10000,10000,10000,157,0,2200.0,3229.1908585303313,18.576389993540943,10023.34840898402,6852.891719745223
1780411500,50,,Aggregated,11.000000,0.000000,1400,4300,5300,5900,7700,8100,9300,10000,10000,10000,10000,175,0,1400.0,2929.0284833787673,18.576389993540943,10023.34840898402,7055.5314285714285
1780411501,50,,Aggregated,13.800000,0.000000,760,2300,5100,5300,7500,7900,8900,9300,10000,10000,10000,219,0,760.0,2423.205044052774,18.576389993540943,10023.34840898402,7870.899543378995
1780411502,50,,Aggregated,16.200000,0.000000,580,1500,4300,5200,7500,7900,8900,9300,10000,10000,10000,239,0,580.0,2232.6865827303795,18.576389993540943,10023.34840898402,8301.748953974895
1780411503,50,,Aggregated,20.400000,0.000000,470,1000,2300,5000,7200,7900,8900,9300,10000,10000,10000,286,0,470.0,1913.876497691458,18.576389993540943,10023.34840898402,8426.122377622378
1780411504,50,,Aggregated,20.800000,0.000000,410,860,2300,4200,7200,7900,8700,9300,10000,10000,10000,308,0,390.0,1787.3718826156548,18.576389993540943,10023.34840898402,8577.285714285714
1780411505,50,,Aggregated,25.500000,0.000000,440,850,1500,4200,5900,7800,8700,9300,10000,10000,10000,332,0,440.0,1705.2825082670995,18.576389993540943,10023.34840898402,8697.346385542169
1780411506,50,,Aggregated,27.800000,0.000000,450,780,1100,2300,5800,7600,8400,9300,10000,10000,10000,381,0,450.0,1558.8590605503737,18.576389993540943,10023.34840898402,8906.17060367454
1780411507,50,,Aggregated,29.800000,0.000000,390,680,1000,1500,5400,7500,8100,8900,10000,10000,10000,417,0,390.0,1436.4978868982753,18.576389993540943,10023.34840898402,9037.534772182255
1780411508,50,,Aggregated,33.300000,0.000000,360,580,950,1300,5300,7500,7900,8900,10000,10000,10000,460,0,360.0,1327.759640420529,18.576389993540943,10023.34840898402,9074.245652173913
1780411509,50,,Aggregated,34.800000,0.000000,340,550,870,1100,5200,7500,7900,8900,10000,10000,10000,485,0,340.0,1264.6176133990125,18.413570011034608,10023.34840898402,9241.79793814433
1780411510,50,,Aggregated,33.200000,0.000000,340,530,800,1000,5200,7200,7900,8900,10000,10000,10000,509,0,340.0,1220.2787215964163,18.413570011034608,10023.34840898402,9339.7721021611
1780411511,50,,Aggregated,32.900000,0.000000,330,500,720,970,5100,7200,7900,8900,10000,10000,10000,552,0,330.0,1146.5703421446328,18.413570011034608,10023.34840898402,9432.210144927536
1780411512,50,,Aggregated,32.800000,0.000000,310,490,670,950,5000,7200,7900,8900,10000,10000,10000,573,0,310.0,1112.2744525511534,18.413570011034608,10023.34840898402,9440.52705061082
1780411513,50,,Aggregated,33.200000,0.000000,350,530,700,890,4200,7200,7900,8700,10000,10000,10000,616,0,350.0,1076.940058438465,18.413570011034608,10023.34840898402,9525.868506493507
1780411514,50,,Aggregated,33.600000,0.000000,320,500,650,850,4200,6400,7900,8700,10000,10000,10000,655,0,320.0,1020.7210730657316,17.68605998950079,10023.34840898402,9583.021374045802
1780411515,50,,Aggregated,32.500000,0.000000,330,480,610,780,2300,5900,7900,8700,10000,10000,10000,689,0,330.0,988.0632667433766,17.68605998950079,10023.34840898402,9645.249637155297
1780411516,50,,Aggregated,34.300000,0.000000,310,460,580,740,2300,5900,7900,8400,10000,10000,10000,730,0,300.0,942.1075204069956,16.827101004309952,10023.34840898402,9644.445205479453
1780411517,50,,Aggregated,35.300000,0.000000,280,440,560,700,2300,5800,7900,8400,10000,10000,10000,765,0,280.0,903.4048305796247,16.827101004309952,10023.34840898402,9714.067973856208
1780411518,50,,Aggregated,35.400000,0.000000,290,440,560,680,2200,5600,7900,8400,10000,10000,10000,788,0,290.0,889.4896777493726,16.827101004309952,10023.34840898402,9789.219543147208
1780411519,50,,Aggregated,34.200000,0.000000,310,460,570,680,1500,5400,7800,8100,10000,10000,10000,825,0,310.0,872.9836156088012,16.827101004309952,10023.34840898402,9881.406060606061
1780411520,50,,Aggregated,32.800000,0.000000,300,450,550,640,1500,5300,7700,8100,10000,10000,10000,867,0,300.0,839.9974056564549,16.827101004309952,10023.34840898402,9936.838523644752
1780411521,50,,Aggregated,34.500000,0.000000,270,430,530,620,1300,5300,7600,7900,10000,10000,10000,912,0,270.0,805.0707971966691,16.827101004309952,10023.34840898402,9936.842105263158
1780411522,50,,Aggregated,35.800000,0.000000,260,420,530,600,1200,5200,7600,7900,10000,10000,10000,941,0,260.0,784.4580548919844,16.827101004309952,10023.34840898402,9937.585547290117
1780411523,50,,Aggregated,35.500000,0.000000,270,420,520,580,1000,5200,7600,7900,10000,10000,10000,983,0,270.0,763.3777552934829,16.827101004309952,10023.34840898402,9971.792472024415
1780411524,50,,Aggregated,36.600000,0.000000,250,400,500,570,1000,5200,7500,7900,10000,10000,10000,1019,0,250.0,740.393598181992,16.827101004309952,10023.34840898402,9995.621197252209
1780411525,50,,Aggregated,36.500000,0.000000,250,390,500,560,1000,5100,7500,7900,10000,10000,10000,1047,0,250.0,727.0006139106348,16.827101004309952,10023.34840898402,10007.845272206303
1780411526,50,,Aggregated,36.000000,0.000000,250,380,480,550,980,5100,7500,7900,10000,10000,10000,1088,0,250.0,707.0456654333505,16.827101004309952,10023.34840898402,10028.863970588236
