Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /customers,1397,0,64,84.43476367927988,32.74496796075255,2545.1553919701837,17679.0,4.664907866280796,0.0,64,76,86,92,120,150,250,330,2500,2500,2500
GET,GET /customers (find id),396,0,68,90.73846714013736,32.23467303905636,2654.399071005173,17679.0,1.3223360880795956,0.0,68,83,93,100,130,180,270,330,2700,2700,2700
GET,GET /customers/{id},396,0,42,57.35200476750962,19.933121977373958,1502.8692170162685,1252.239898989899,1.3223360880795956,0.0,42,54,63,69,93,130,180,250,1500,1500,1500
GET,GET /health,142,0,230.0,241.80773410226323,194.8112630052492,449.16022301185876,130.0,0.4741710214830873,0.0,230,250,250,260,290,310,400,400,450,450,450
GET,GET /inventory,527,0,50,78.45148340771523,26.913896028418094,2653.079993033316,4776.0,1.7597755515604718,0.0,50,58,67,72,100,160,240,400,2700,2700,2700
GET,GET /products,1696,0,46,63.68955596155742,24.229100963566452,2402.5673040305264,13122.0,5.6633383974318035,0.0,46,56,64,69,88,130,210,280,2400,2400,2400
GET,GET /sales-orders,1239,0,26,43.21531488444007,12.536896974779665,2008.563516952563,4443.0,4.13730912406722,0.0,26,33,39,43,61,89,150,230,1400,2000,2000
GET,GET /users,175,0,29,49.18235892363425,13.995212968438864,1376.8912290106528,596.0,0.5843656954897203,0.0,29,36,42,48,62,87,120,1200,1400,1400,1400
POST,POST /auth/login,25,0,1700.0,1649.3153280415572,1129.748378007207,2222.6721990155056,301.0,0.08348081364138861,0.0,1700,1900,1900,2200,2200,2200,2200,2200,2200,2200,2200
,Aggregated,5993,0,49,77.37041211397748,12.536896974779665,2654.399071005173,10445.74670448857,20.012020646113676,0.0,49,62,71,79,110,200,270,410,2500,2700,2700
