Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /customers,1569,0,15,17.69741181454991,8.239484974183142,285.5912700179033,17645.0,5.238938641948012,0.0,15,17,19,21,26,33,46,58,230,290,290
GET,GET /customers (find id),428,0,15,16.897502657059782,8.760183001868427,189.17928799055517,17645.079439252335,1.4291049960189606,0.0,15,17,18,20,24,30,38,51,190,190,190
GET,GET /customers/{id},1,0,54.66479901224375,54.66479901224375,54.66479901224375,54.66479901224375,1075.0,0.0033390303645302816,0.0,55,55,55,55,55,55,55,55,55,55,55
GET,GET /health,139,0,220.0,270.42382945165895,186.51967897312716,4132.508710026741,130.10791366906474,0.4641252206697092,0.0,220,230,230,240,280,480,740,750,4100,4100,4100
GET,GET /inventory,552,0,38,41.731795773122705,23.9934180281125,177.24480596370995,4776.0,1.8431447612207155,0.0,38,42,46,48,55,65,91,130,180,180,180
GET,GET /products,1722,0,14,17.040580404852328,8.594119048211724,381.00498099811375,13088.01974448316,5.749810287721145,0.0,14,16,18,19,24,31,42,51,340,380,380
GET,GET /sales-orders,1275,0,14,16.25043319214099,8.344208996277303,325.5053939647041,480.11058823529413,4.257263714776109,0.0,14,16,18,19,24,29,39,44,160,330,330
GET,GET /users,181,0,21,23.873244431217135,12.679822975769639,132.24463700316846,596.0,0.604364495979981,0.0,21,24,27,28,35,42,46,79,130,130,130
POST,POST /auth/login,25,0,280.0,350.52246507257223,232.36629797611386,506.44354900578037,301.0,0.08347575911325704,0.0,280,440,450,460,460,500,510,510,510,510,510
,Aggregated,5892,0,15,26.956245634726248,8.239484974183142,4132.508710026741,10379.79005431093,19.673566907812422,0.0,15,19,22,26,38,52,210,240,510,4100,4100
