Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /customers,1170,0,15,18.097432577309924,8.14183201873675,331.82917698286474,17645.0,3.9083956827674857,0.0,15,18,20,21,26,31,41,58,230,330,330
GET,GET /customers (find id),373,0,15,16.402433091248998,7.561934005934745,130.26665803045034,17645.0,1.2460099057027967,0.0,15,17,18,20,25,30,34,39,130,130,130
GET,GET /health,145,0,220.0,229.52189239440486,193.4529089485295,540.9017810015939,130.0,0.4843738239327226,0.0,220,230,240,240,260,270,310,410,540,540,540
GET,GET /inventory,493,0,43,47.03378836783953,26.45057300105691,206.47997199557722,4776.0,1.6468710013712569,0.0,43,48,51,54,61,69,89,150,210,210,210
GET,GET /opportunities,325,0,14,15.682379172111933,8.010894991457462,44.265011965762824,265.0923076923077,1.0856654674354127,0.0,14,17,18,19,24,27,31,32,44,44,44
GET,GET /products,1531,0,15,16.716317397543513,7.661045005079359,217.16721501434222,13088.0,5.114319478903437,0.0,15,17,19,20,25,29,35,38,120,220,220
GET,GET /quotations,301,0,15,16.588888066106065,8.343569992575794,100.7165809860453,313.6046511627907,1.0054932483017207,0.0,15,18,19,21,25,27,31,38,100,100,100
GET,GET /sales-orders,1272,0,15,16.77715305518835,7.4573050369508564,549.2866270360537,477.0,4.249127614085677,0.0,15,17,19,20,24,28,33,41,160,550,550
GET,GET /users,184,0,24,26.18404679505266,13.61743500456214,97.90928999427706,596.0,0.6146536800249721,0.0,24,27,30,32,37,42,44,62,98,98,98
POST,POST /auth/login,25,0,270.0,374.46754215750843,236.96225095773116,677.727245958522,301.0,0.08351272826426252,0.0,270,460,470,470,670,680,680,680,680,680,680
,Aggregated,5819,0,16,26.63056161641562,7.4573050369508564,677.727245958522,8685.66145385805,19.438422630789745,0.0,16,19,23,26,39,55,220,240,480,680,680
