Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /customers,971,0,95,184.02095751106273,34.64301995700225,6130.479905987158,17679.0,16.42330133219157,0.0,95,120,150,170,250,410,960,2600,6100,6100,6100
GET,GET /customers (find id),278,0,98,205.02264599969925,35.91151797445491,6140.903510968201,17679.0,4.702036838670707,0.0,99,120,160,190,270,450,1500,3800,6100,6100,6100
GET,GET /customers/{id},278,0,70,112.27187822931346,24.34253500541672,2577.5442459853366,1246.5539568345323,4.702036838670707,0.0,70,96,110,120,200,280,530,840,2600,2600,2600
GET,GET /health,100,0,260.0,278.0937544431072,193.11430904781446,622.2438670229167,129.99,1.6913801577952183,0.0,260,270,300,300,380,440,520,620,620,620,620
GET,GET /inventory,350,0,72,132.66179374502306,32.09252003580332,4642.159620998427,4776.0,5.919830552283264,0.0,72,100,120,150,230,330,560,660,4600,4600,4600
GET,GET /products,1180,0,69,164.49945117588652,27.07855898188427,4808.83732996881,13122.0,19.958285861983576,0.0,69,92,110,130,200,300,1900,3000,4400,4800,4800
GET,GET /sales-orders,850,0,42,136.26008171779927,12.873083003796637,4632.209769042674,4443.0,14.376731341259354,0.0,42,60,74,89,180,360,2000,2400,4600,4600,4600
GET,GET /users,135,0,44,157.12864652526116,16.627869044896215,4695.417798007838,596.0,2.2833632130235446,0.0,44,66,78,92,150,310,2100,3500,4700,4700,4700
POST,POST /auth/login,100,0,1800.0,2468.5505779087543,711.4120119949803,5105.433844029903,301.0,1.6913801577952183,0.0,1800,2900,3600,4100,4400,5000,5100,5100,5100,5100,5100
,Aggregated,4242,0,76,216.6739928461663,12.873083003796637,6140.903510968201,10250.65582272513,71.74834629367315,0.0,76,100,130,170,270,600,2600,3600,5000,6100,6100
