Method,Name,Error,Occurrences
POST,POST /auth/login,"CatchResponseError('login failed: 500 {""code"":-1,""msg"":""sorry, too many clients already"",""data"":null,""request_id"":""req_3e6cc066a0be4035""}')",1
POST,POST /auth/login,"CatchResponseError('login failed: 500 {""code"":-1,""msg"":""sorry, too many clients already"",""data"":null,""request_id"":""req_15771a6353cf48ba""}')",1
POST,POST /auth/login,"CatchResponseError('login failed: 500 {""code"":-1,""msg"":""sorry, too many clients already"",""data"":null,""request_id"":""req_d1303245c3e145a0""}')",1
GET,GET /customers,CatchResponseError('GET /customers -> 500'),38
POST,POST /auth/login,"CatchResponseError('login failed: 500 {""code"":-1,""msg"":""sorry, too many clients already"",""data"":null,""request_id"":""req_43b9f814919e4293""}')",1
POST,POST /auth/login,"CatchResponseError('login failed: 500 {""code"":-1,""msg"":""sorry, too many clients already"",""data"":null,""request_id"":""req_c7fef516b06642ca""}')",1
POST,POST /auth/login,"CatchResponseError('login failed: 500 {""code"":-1,""msg"":""sorry, too many clients already"",""data"":null,""request_id"":""req_c0e30a07163f463f""}')",1
POST,POST /auth/login,"CatchResponseError('login failed: 500 {""code"":-1,""msg"":""sorry, too many clients already"",""data"":null,""request_id"":""req_1ed96a642a24432b""}')",1
POST,POST /auth/login,"CatchResponseError('login failed: 500 {""code"":-1,""msg"":""sorry, too many clients already"",""data"":null,""request_id"":""req_32deffa2f5c0419b""}')",1
GET,GET /customers (find id),CatchResponseError('GET /customers (find id) -> 500'),12
POST,POST /auth/login,"CatchResponseError('login failed: 500 {""code"":-1,""msg"":""sorry, too many clients already"",""data"":null,""request_id"":""req_9135e4aa5d5e44b2""}')",1
POST,POST /auth/login,"CatchResponseError('login failed: 500 {""code"":-1,""msg"":""sorry, too many clients already"",""data"":null,""request_id"":""req_0ca6060b72f94e36""}')",1
GET,GET /inventory,CatchResponseError('GET /inventory -> 500'),11
POST,POST /auth/login,"CatchResponseError('login failed: 500 {""code"":-1,""msg"":""sorry, too many clients already"",""data"":null,""request_id"":""req_f5184f01e6394278""}')",1
POST,POST /auth/login,"CatchResponseError('login failed: 500 {""code"":-1,""msg"":""sorry, too many clients already"",""data"":null,""request_id"":""req_ca1f6a92ff7d4a3a""}')",1
GET,GET /users,CatchResponseError('GET /users -> 500'),5
POST,POST /auth/login,"CatchResponseError('login failed: 500 {""code"":-1,""msg"":""sorry, too many clients already"",""data"":null,""request_id"":""req_cd57396ac12b4fe4""}')",1
POST,POST /auth/login,"CatchResponseError('login failed: 500 {""code"":-1,""msg"":""sorry, too many clients already"",""data"":null,""request_id"":""req_22f440d99d644543""}')",1
GET,GET /customers/{id},CatchResponseError('GET /customers/{id} -> 500'),4
POST,POST /auth/login,"CatchResponseError('login failed: 500 {""code"":-1,""msg"":""sorry, too many clients already"",""data"":null,""request_id"":""req_98f291df9fe640e1""}')",1
POST,POST /auth/login,"CatchResponseError('login failed: 500 {""code"":-1,""msg"":""remaining connection slots are reserved for roles with the SUPERUSER attribute"",""data"":null,""request_i')",22
GET,GET /products,CatchResponseError('GET /products -> 500'),46
POST,POST /auth/login,"CatchResponseError('login failed: 500 {""code"":-1,""msg"":""sorry, too many clients already"",""data"":null,""request_id"":""req_c3d8d31ef4444f90""}')",1
POST,POST /auth/login,"CatchResponseError('login failed: 500 {""code"":-1,""msg"":""sorry, too many clients already"",""data"":null,""request_id"":""req_351f659af11b459a""}')",1
POST,POST /auth/login,"CatchResponseError('login failed: 500 {""code"":-1,""msg"":""sorry, too many clients already"",""data"":null,""request_id"":""req_f0f94de06ae945ce""}')",1
GET,GET /sales-orders,CatchResponseError('GET /sales-orders -> 500'),37
