Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /customers,559,0,64,97.69236085784816,31.65625996189192,1820.9158889949322,17679.0,9.462734466449406,0.0,64,72,77,82,100,170,850,1300,1800,1800,1800
GET,GET /customers (find id),129,0,65,103.65337603761591,36.86225798446685,1467.3493820009753,17679.0,2.183707953796017,0.0,65,74,81,84,94,120,1100,1200,1500,1500,1500
GET,GET /customers/{id},129,0,46,72.4807741429996,24.294218979775906,980.7901780004613,1218.7519379844962,2.183707953796017,0.0,46,52,56,58,77,140,760,760,980,980,980
GET,GET /health,47,0,230.0,236.58193106282542,202.4047049926594,473.45004096860066,129.31914893617022,0.7956145258016495,0.0,230,240,240,250,260,270,470,470,470,470,470
GET,GET /inventory,202,0,48,77.91535662242792,27.896833955310285,2232.064271986019,4776.0,3.419449664083685,0.0,48,55,59,62,76,100,290,1100,2200,2200,2200
GET,GET /products,674,0,19,35.174894091263496,9.066565951798111,1851.9555170205422,13088.0,11.409450859368336,0.0,19,23,28,30,39,56,180,280,1900,1900,1900
GET,GET /sales-orders,442,0,24,37.650970620160074,12.125007982831448,823.4073150088079,4443.0,7.482162136262321,0.0,24,29,32,35,46,64,130,620,820,820,820
GET,GET /users,76,0,28,70.19712668797614,15.366225969046354,1451.848252036143,596.0,1.2865256161899012,0.0,28,35,39,42,51,67,1300,1500,1500,1500,1500
POST,POST /auth/login,50,0,1100.0,1120.2819206379354,327.5809260085225,2276.2840170180425,301.0,0.8463984317038825,0.0,1100,1200,1200,1600,1700,2300,2300,2300,2300,2300,2300
,Aggregated,2308,0,40,89.20635753133668,9.066565951798111,2276.2840170180425,10457.82712305026,39.06975160745122,0.0,40,54,62,69,96,240,1100,1300,2300,2300,2300
