Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /customers,1513,0,57,60.426510270721586,32.72770601324737,418.21493295719847,17679.0,5.052818575756672,0.0,57,63,67,69,79,88,110,170,320,420,420
GET,GET /customers (find id),374,0,56,59.778714611040634,34.6951560350135,191.9089049915783,17679.0,1.2490113333331099,0.0,56,62,67,69,78,92,110,180,190,190,190
GET,GET /customers/{id},374,0,36,37.7629386282272,20.52969398209825,153.03659799974412,1224.8930481283423,1.2490113333331099,0.0,36,39,42,44,51,59,74,95,150,150,150
GET,GET /health,129,0,220.0,229.94611216952677,193.73068201821297,430.06864795461297,130.0,0.4308087219250566,0.0,220,230,240,240,260,270,360,420,430,430,430
GET,GET /inventory,564,0,44,48.82666669096154,27.734585979487747,481.1898799962364,4776.0,1.883535807486294,0.0,44,49,53,56,66,79,96,110,480,480,480
GET,GET /products,1727,0,17,19.285959773730664,9.051200991962105,285.9020900214091,13088.01968731905,5.76749350980289,0.0,17,19,22,23,29,35,46,55,170,290,290
GET,GET /sales-orders,1310,0,22,24.75574390984048,12.34640902839601,191.4785199915059,4443.0,4.374879269161427,0.0,22,25,28,30,37,42,52,62,160,190,190
GET,GET /users,144,0,24,27.439431046433228,15.483091992791742,131.49654096923769,596.0,0.4809027593582027,0.0,24,29,31,32,40,42,67,100,130,130,130
POST,POST /auth/login,25,0,280.0,353.1856803665869,248.83462797151878,518.749073962681,301.0,0.08349006238857687,0.0,280,460,470,490,490,510,520,520,520,520,520
,Aggregated,6160,0,33,42.79626200740814,9.051200991962105,518.749073962681,10559.335389610389,20.57195137254534,0.0,33,45,52,57,69,85,210,240,480,520,520
