Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /customers,704,0,15,70.77718947741893,7.393367995973676,3827.9743189923465,17645.0,11.916004122544587,0.0,15,18,21,22,29,39,1300,2000,3800,3800,3800
GET,GET /customers (find id),251,0,15,35.80000776907919,8.334399957675487,2927.7496360009536,17645.0,4.2484616971004145,0.0,15,18,20,21,29,42,61,160,2900,2900,2900
GET,GET /dashboard/kpi,72,0,15,107.44033791626053,8.464412007015198,3237.8023299970664,211.0,1.2186822398056965,0.0,15,17,20,21,31,680,1400,3200,3200,3200,3200
GET,GET /health,75,0,220.0,272.14460264192894,187.4179809819907,3570.729368017055,130.0,1.2694606664642671,0.0,220,240,240,250,260,270,290,3600,3600,3600,3600
GET,GET /inventory,366,0,47,97.63963846680632,25.810093036852777,4919.964064960368,4776.0,6.194968052345624,0.0,48,53,60,62,77,140,540,1600,4900,4900,4900
GET,GET /opportunities,165,0,15,57.21240039265743,7.795674027875066,3067.092458019033,252.0,2.792813466221388,0.0,15,18,21,23,32,61,700,1500,3100,3100,3100
GET,GET /products,1003,0,15,62.54080366582358,7.979859015904367,3421.7370260157622,13088.0,16.976920646182133,0.0,15,18,21,23,32,49,840,1600,3200,3400,3400
GET,GET /quotations,157,0,14,27.903216243662225,8.220458985306323,1633.2347479765303,302.0,2.657404328465199,0.0,14,17,19,21,30,34,46,170,1600,1600,1600
GET,GET /quotations/stats,156,0,14,97.28577556887056,7.63013499090448,3201.883463014383,245.0,2.6404781862456757,0.0,14,17,21,23,30,43,2500,2800,3200,3200,3200
GET,GET /sales-orders,762,0,15,63.31177008360578,7.442760048434138,3447.055958036799,477.0,12.897720371276954,0.0,15,18,20,22,30,42,720,2200,3400,3400,3400
GET,GET /sales/dashboard/alerts,84,0,16,78.27597728603342,7.58952897740528,3711.2983080442064,47.0,1.4217959464399792,0.0,16,20,22,26,32,42,1300,3700,3700,3700,3700
GET,GET /sales/dashboard/overview,144,0,16,72.59942590745696,7.61147600132972,3407.520629989449,364.0,2.437364479611393,0.0,16,20,22,24,34,67,1400,2700,3400,3400,3400
GET,GET /sales/dashboard/trends,89,0,16,81.22394610068164,8.306993986479938,2950.376958993729,810.0,1.506426657537597,0.0,16,21,25,28,38,63,1400,3000,3000,3000,3000
GET,GET /users,148,0,26,77.75040892640293,14.239387994166464,1918.5637999908067,596.0,2.5050690484894873,0.0,26,31,34,38,46,61,1400,1700,1900,1900,1900
POST,POST /auth/login,100,0,2500.0,2269.903799042804,344.8035130277276,4220.498448004946,301.0,1.6926142219523563,0.0,2500,2900,2900,3500,3700,4200,4200,4200,4200,4200,4200
,Aggregated,4276,0,17,122.87673023490963,7.393367995973676,4919.964064960368,7597.906220767072,72.37618413068276,0.0,17,21,28,33,58,300,2300,2900,4200,4900,4900
