Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1780446565,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1780446566,20,,Aggregated,0.000000,0.000000,700,740,780,780,810,970,970,970,970,970,970,16,0,540.0,556.7983133805683,19.331571995280683,966.7704260209575,2500.8125
1780446567,40,,Aggregated,0.000000,0.000000,700,800,950,1400,1700,1700,1700,1700,1700,1700,1700,40,0,700.0,689.5636784523958,19.331571995280683,1726.2916939798743,4451.5
1780446568,60,,Aggregated,0.000000,0.000000,750,970,1100,1100,1500,1700,1700,1700,1700,1700,1700,59,0,750.0,772.9885700529726,19.331571995280683,1726.2916939798743,3342.406779661017
1780446569,80,,Aggregated,10.000000,0.000000,940,1100,1500,1500,2000,2800,2800,2800,2800,2800,2800,87,0,940.0,991.3624483943468,19.331571995280683,2776.110187987797,3913.5402298850577
1780446570,100,,Aggregated,16.000000,0.000000,970,1400,1700,1700,2700,2800,3500,3500,3500,3500,3500,127,0,970.0,1136.5264527033098,10.284038027748466,3483.8604499818757,4002.952755905512
1780446571,100,,Aggregated,14.750000,0.000000,970,1500,1700,2200,2700,2800,3500,3800,3800,3800,3800,151,0,970.0,1155.479017710267,9.926699043717235,3827.9743189923465,4537.582781456954
1780446572,100,,Aggregated,21.800000,0.000000,1200,1700,2300,2800,3100,3500,3700,3700,3800,3800,3800,218,0,1200.0,1390.5113375886694,8.992537972517312,3827.9743189923465,4520.633027522936
1780446573,100,,Aggregated,21.833333,0.000000,950,1600,2200,2500,2900,3500,3700,3800,4900,4900,4900,278,0,940.0,1228.301123637629,8.759824035223573,4919.964064960368,5309.618705035971
1780446574,100,,Aggregated,22.571429,0.000000,700,1400,2200,2500,3100,3500,3800,4200,4900,4900,4900,378,0,700.0,1129.4870880115518,8.730840985663235,4919.964064960368,5881.238095238095
1780446575,100,,Aggregated,30.750000,0.000000,70,1200,1600,2200,2900,3500,3800,4200,4900,4900,4900,449,0,70,954.0638573641966,7.795674027875066,4919.964064960368,6190.587973273942
1780446576,100,,Aggregated,35.555556,0.000000,45,770,1400,1700,2900,3400,3700,4200,4900,4900,4900,521,0,45,825.4474701133964,7.795674027875066,4919.964064960368,6314.31669865643
1780446577,100,,Aggregated,39.300000,0.000000,30,480,1200,1500,2800,3300,3700,4000,4900,4900,4900,608,0,30,710.9576880009531,7.795674027875066,4919.964064960368,6487.180921052632
1780446578,100,,Aggregated,46.900000,0.000000,23,70,950,1400,2700,3200,3700,4000,4900,4900,4900,678,0,23,639.7786283780406,7.795674027875066,4919.964064960368,6685.558997050148
1780446579,100,,Aggregated,52.100000,0.000000,20,56,700,1200,2500,3100,3700,3800,4900,4900,4900,757,0,20,575.69031722541,7.63013499090448,4919.964064960368,6770.529722589168
1780446580,100,,Aggregated,57.900000,0.000000,19,46,350,970,2300,2900,3600,3800,4900,4900,4900,835,0,19,524.2315175768803,7.615887967403978,4919.964064960368,6834.858682634731
1780446581,100,,Aggregated,63.900000,0.000000,19,39,100,740,2200,2900,3500,3700,4900,4900,4900,914,0,19,480.957389612406,7.615887967403978,4919.964064960368,6830.331509846827
1780446582,100,,Aggregated,67.100000,0.000000,18,36,62,550,2200,2900,3500,3700,4900,4900,4900,987,0,18,446.5196383263059,7.393367995973676,4919.964064960368,6965.336372847011
1780446583,100,,Aggregated,72.100000,0.000000,17,34,56,260,1700,2800,3500,3700,4200,4900,4900,1072,0,17,412.8302750681569,7.393367995973676,4919.964064960368,7037.3442164179105
