Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /customers,1267,0,13,14.743659289043997,7.415496977046132,245.3394890180789,17645.053670086818,4.232426534761893,0.0,13,14,16,17,23,27,34,39,91,250,250
GET,GET /customers (find id),399,0,13,14.474441553378492,7.905551989097148,98.20253204088658,17645.0,1.3328636048697673,0.0,13,14,16,17,22,27,32,35,98,98,98
GET,GET /health,122,0,220.0,227.46128635194734,188.0054830107838,472.7593360003084,129.84426229508196,0.4075422551230867,0.0,220,230,240,240,260,270,280,310,470,470,470
GET,GET /inventory,540,0,37,41.02976753535956,24.461238004732877,241.6438529617153,4776.0,1.803875555462843,0.0,37,41,45,47,54,61,70,140,240,240,240
GET,GET /opportunities,305,0,12,14.64947104037999,7.86321796476841,315.75034401612356,265.95081967213116,1.018855637807717,0.0,12,14,15,17,21,24,31,32,320,320,320
GET,GET /products,1554,0,12,14.906300426326858,7.76696897810325,371.0495019913651,13088.021879021879,5.191152987387515,0.0,12,15,16,17,21,27,32,37,290,370,370
GET,GET /quotations,308,0,13,15.07098585243984,7.581040961667895,287.9335099714808,313.34090909090907,1.0288771686713993,0.0,13,15,17,18,23,25,29,33,290,290,290
GET,GET /sales-orders,1195,0,12,14.75622664263207,7.513221993576735,238.26144402846694,480.31882845188284,3.9919097940335133,0.0,12,14,16,17,22,27,34,40,240,240,240
GET,GET /users,178,0,20,23.45278801388641,12.861847993917763,209.3289620243013,596.0,0.5946108312451593,0.0,20,23,24,27,33,40,51,52,210,210,210
POST,POST /auth/login,25,0,280.0,360.0146208750084,239.54313597641885,721.4620230370201,301.0,0.08351275719735383,0.0,280,460,460,480,530,720,720,720,720,720,720
,Aggregated,5893,0,13,23.32341179394538,7.415496977046132,721.4620230370201,9026.900220600714,19.685627126560245,0.0,13,16,20,23,34,46,210,240,480,720,720
