Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1780446241,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1780446242,5,,Aggregated,0.000000,0.000000,270,280,280,310,530,530,530,530,530,530,530,10,0,240.0,220.1530281919986,60.26994000421837,532.551699958276,5920.4
1780446243,10,,Aggregated,0.000000,0.000000,240,260,270,280,310,480,530,530,530,530,530,22,0,83,173.72075286270544,11.556831013876945,532.551699958276,5623.863636363636
1780446244,15,,Aggregated,0.000000,0.000000,200,250,260,270,310,490,530,530,530,530,530,38,0,110.0,164.8194202586494,10.715178039390594,532.551699958276,6095.789473684211
1780446245,20,,Aggregated,10.000000,0.000000,80,240,260,270,460,480,490,530,530,530,530,60,0,74,156.88352041179314,10.715178039390594,532.551699958276,6998.05
1780446246,25,,Aggregated,12.666667,0.000000,60,240,250,270,460,480,720,720,720,720,720,81,0,60,154.02726788522193,9.381634998135269,721.4620230370201,6814.62962962963
1780446247,25,,Aggregated,14.250000,0.000000,29,110,240,250,370,480,720,720,720,720,720,99,0,29,129.7620488865762,8.498270995914936,721.4620230370201,7809.404040404041
1780446248,25,,Aggregated,15.800000,0.000000,19,61,230,240,280,460,530,720,720,720,720,121,0,19,109.60768334748424,8.498270995914936,721.4620230370201,8259.619834710744
1780446249,25,,Aggregated,15.833333,0.000000,17,35,110,240,280,460,530,720,720,720,720,143,0,17,96.49784149564607,8.498270995914936,721.4620230370201,8461.111888111887
1780446250,25,,Aggregated,16.571429,0.000000,17,32,74,220,270,460,490,720,720,720,720,163,0,17,88.39244702245263,7.581040961667895,721.4620230370201,8546.490797546012
1780446251,25,,Aggregated,17.625000,0.000000,17,31,60,200,260,370,490,720,720,720,720,185,0,17,82.65442988564688,7.581040961667895,721.4620230370201,8266.794594594594
1780446252,25,,Aggregated,17.888889,0.000000,16,28,54,83,250,320,480,530,720,720,720,204,0,16,76.49086570503034,7.581040961667895,721.4620230370201,8756.421568627451
1780446253,25,,Aggregated,18.300000,0.000000,16,25,43,67,250,310,480,530,720,720,720,224,0,16,71.99380633002355,7.581040961667895,721.4620230370201,8929.611607142857
1780446254,25,,Aggregated,19.200000,0.000000,15,22,35,55,240,280,480,530,720,720,720,247,0,15,66.5016172379293,7.581040961667895,721.4620230370201,8846.315789473685
1780446255,25,,Aggregated,20.000000,0.000000,15,21,32,53,240,280,480,530,720,720,720,265,0,15,63.19057733141202,7.581040961667895,721.4620230370201,8740.943396226416
1780446256,25,,Aggregated,20.300000,0.000000,15,21,31,43,240,280,480,530,720,720,720,282,0,15,61.06903831823729,7.581040961667895,721.4620230370201,8678.351063829787
1780446257,25,,Aggregated,20.500000,0.000000,15,21,29,43,240,270,460,490,720,720,720,302,0,15,58.952134505796266,7.581040961667895,721.4620230370201,8614.867549668874
1780446258,25,,Aggregated,20.100000,0.000000,15,21,28,40,240,270,460,490,720,720,720,317,0,15,56.825523727796735,7.581040961667895,721.4620230370201,8792.444794952682
1780446259,25,,Aggregated,20.100000,0.000000,15,19,26,34,230,270,460,490,720,720,720,341,0,15,53.693116316332855,7.581040961667895,721.4620230370201,8918.360703812317
1780446260,25,,Aggregated,20.000000,0.000000,15,19,26,32,230,270,460,490,720,720,720,359,0,15,53.161842197090294,7.581040961667895,721.4620230370201,8893.743732590528
1780446261,25,,Aggregated,19.600000,0.000000,15,19,26,32,220,270,460,490,720,720,720,380,0,15,51.25479424681735,7.581040961667895,721.4620230370201,8920.784210526315
1780446262,25,,Aggregated,19.600000,0.000000,15,19,25,32,200,260,460,490,720,720,720,393,0,15,50.24975696643791,7.581040961667895,721.4620230370201,8933.338422391858
1780446263,25,,Aggregated,19.400000,0.000000,15,19,25,31,110,250,460,480,720,720,720,414,0,15,48.49464623853654,7.581040961667895,721.4620230370201,8828.36231884058
1780446264,25,,Aggregated,19.100000,0.000000,15,19,24,30,110,250,460,480,720,720,720,436,0,15,47.00163184582905,7.581040961667895,721.4620230370201,8953.220183486239
1780446265,25,,Aggregated,19.200000,0.000000,15,18,24,30,80,250,460,480,720,720,720,453,0,15,45.96706543456471,7.581040961667895,721.4620230370201,8963.562913907284
1780446266,25,,Aggregated,19.100000,0.000000,15,18,24,29,67,250,460,480,720,720,720,473,0,15,44.692297319041856,7.581040961667895,721.4620230370201,9097.359408033826
1780446267,25,,Aggregated,18.900000,0.000000,15,18,22,28,62,250,460,480,720,720,720,493,0,15,43.56292943809272,7.581040961667895,721.4620230370201,9153.640973630832
1780446268,25,,Aggregated,19.200000,0.000000,15,18,24,28,61,240,370,480,720,720,720,515,0,15,42.57621711269202,7.581040961667895,721.4620230370201,9220.316504854369
1780446269,25,,Aggregated,19.500000,0.000000,15,18,23,28,59,240,370,480,720,720,720,532,0,15,41.67901492304312,7.581040961667895,721.4620230370201,9254.319548872181
1780446270,25,,Aggregated,19.200000,0.000000,15,18,23,28,59,240,370,480,720,720,720,550,0,15,41.225273240548134,7.581040961667895,721.4620230370201,9219.565454545454
1780446271,25,,Aggregated,19.400000,0.000000,14,18,22,28,55,240,320,480,720,720,720,574,0,14,40.21993888011089,7.581040961667895,721.4620230370201,9314.954703832753
1780446272,25,,Aggregated,19.200000,0.000000,14,18,22,27,54,240,320,480,720,720,720,594,0,14,39.461688326788526,7.581040961667895,721.4620230370201,9383.547138047137
1780446273,25,,Aggregated,19.200000,0.000000,14,18,22,27,53,240,310,470,720,720,720,610,0,14,38.8876201609745,7.581040961667895,721.4620230370201,9394.340983606557
1780446274,25,,Aggregated,19.500000,0.000000,14,18,23,28,47,240,310,470,720,720,720,634,0,14,38.134546462671935,7.581040961667895,721.4620230370201,9454.331230283911
1780446275,25,,Aggregated,19.500000,0.000000,14,18,22,27,46,240,280,470,720,720,720,654,0,14,37.423456908400894,7.581040961667895,721.4620230370201,9438.82262996942
1780446276,25,,Aggregated,19.700000,0.000000,14,17,22,27,44,230,280,470,720,720,720,677,0,14,36.62880863550709,7.581040961667895,721.4620230370201,9473.178729689807
1780446277,25,,Aggregated,19.700000,0.000000,14,17,22,27,43,230,280,470,720,720,720,694,0,14,36.18407608224589,7.581040961667895,721.4620230370201,9498.749279538904
1780446278,25,,Aggregated,19.800000,0.000000,14,17,22,27,44,230,280,460,720,720,720,716,0,14,35.81260666774726,7.581040961667895,721.4620230370201,9399.279329608938
