Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /customers,1008,0,13,15.139171580524398,7.342575991060585,192.02781503554434,17645.0,3.366100779984548,0.0,13,15,17,18,22,26,35,39,110,190,190
GET,GET /customers (find id),350,0,12,16.17095048023787,8.000105968676507,453.0178970308043,17645.0,1.1687849930501903,0.0,12,15,16,18,24,28,33,37,450,450,450
GET,GET /dashboard/kpi,105,0,12,14.021942231781958,7.618889037985355,31.886946002487093,211.0,0.3506354979150571,0.0,12,14,16,18,24,27,28,31,32,32,32
GET,GET /health,125,0,220.0,231.82496363203973,193.26114398427308,450.82937396364287,130.0,0.4174232118036394,0.0,220,230,240,250,270,280,410,420,450,450,450
GET,GET /inventory,528,0,38,42.38005045948684,24.602183955721557,362.31972998939455,4776.0,1.7631956466585728,0.0,38,42,45,47,54,62,69,79,360,360,360
GET,GET /opportunities,224,0,13,14.745549410300944,8.167223946657032,170.75525602558628,252.0,0.7480223955521218,0.0,13,15,17,17,21,24,28,28,170,170,170
GET,GET /products,1364,0,13,15.014151043393117,7.753734011203051,206.91965299192816,13088.0,4.554922087201313,0.0,13,15,16,18,22,27,33,38,180,210,210
GET,GET /quotations,216,0,13,15.096400089667576,7.510361028835177,120.56728499010205,302.0,0.7213073099966889,0.0,13,15,16,17,23,28,32,52,120,120,120
GET,GET /quotations/stats,224,0,13,14.192224245562102,7.630873995367438,37.88696101401001,245.0,0.7480223955521218,0.0,13,14,16,17,21,24,33,36,38,38,38
GET,GET /sales-orders,1124,0,13,14.636681374177764,7.425942982081324,238.8311199611053,477.0,3.7534695205383253,0.0,13,14,16,17,21,26,30,34,240,240,240
GET,GET /sales/dashboard/alerts,94,0,13,14.568655351622704,8.162024954799563,44.901104003656656,47.0,0.3139022552763368,0.0,13,16,17,17,21,26,37,45,45,45,45
GET,GET /sales/dashboard/overview,204,0,13,14.550874145260975,8.178499003406614,35.065914038568735,364.0,0.6812346816635395,0.0,13,15,16,18,21,27,31,33,35,35,35
GET,GET /sales/dashboard/trends,103,0,12,15.601325832709707,8.073229982983321,259.69218800310045,810.0,0.34395672652619885,0.0,12,14,15,16,17,21,28,34,260,260,260
GET,GET /users,174,0,21,24.483397958302422,12.655138969421387,274.34578898828477,596.0,0.581053110830666,0.0,21,23,25,26,33,41,55,56,270,270,270
POST,POST /auth/login,25,0,440.0,386.9361361977644,229.93822197895497,665.8616909990087,301.0,0.08348464236072788,0.0,440,450,450,460,660,670,670,670,670,670,670
,Aggregated,5868,0,14,23.90922075620179,7.342575991060585,665.8616909990087,7730.081117927743,19.595515254910048,0.0,14,17,20,23,35,46,210,240,460,670,670
