Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /contracts,7,0,17,480.79095900019246,11.294437001197366,3271.4789279998513,79.0,0.11848371131496956,0.0,17,18,22,22,3300,3300,3300,3300,3300,3300,3300
GET,GET /customers,158,0,17,111.47033110131515,9.929112000463647,4710.609562000172,17645.21518987342,2.6743466268235987,0.0,17,20,24,28,48,340,1500,2200,4700,4700,4700
GET,GET /customers (find id),32,0,21,240.79235681244882,11.939695001274231,5267.477687999417,17646.0625,0.5416398231541465,0.0,21,29,32,35,200,870,5300,5300,5300,5300,5300
GET,GET /customers/{id},1,0,219.51497300142364,219.51497300142364,219.51497300142364,219.51497300142364,816.0,0.016926244473567078,0.0,220,220,220,220,220,220,220,220,220,220,220
GET,GET /dashboard/kpi,22,0,17,21.14936295451612,11.27237600121589,52.91271299938671,211.0,0.37237737841847574,0.0,17,19,23,23,44,47,53,53,53,53,53
GET,GET /finance/reports/ap,9,0,22,30.567339444840197,10.217516000921023,103.62872699988657,205.0,0.1523362002621037,0.0,22,25,28,38,100,100,100,100,100,100,100
GET,GET /finance/reports/pnl,18,0,18,136.89177961098014,11.394987999665318,1957.7233249983692,204.0,0.3046724005242074,0.0,18,18,21,22,240,2000,2000,2000,2000,2000,2000
GET,GET /health,26,0,220.0,539.7060293845733,186.62343800133385,4016.2773020001623,130.57692307692307,0.44008235631274406,0.0,220,230,250,260,890,3500,4000,4000,4000,4000,4000
GET,GET /inventory,92,0,46,95.00749085865486,28.251755000383127,1708.2472359998064,4776.0,1.5572144915681714,0.0,46,52,56,59,73,110,1400,1700,1700,1700,1700
GET,GET /invoices,14,0,17,96.18759507130952,10.554376000072807,862.4571109994577,79.0,0.2369674226299391,0.0,18,21,23,34,270,860,860,860,860,860,860
GET,GET /opportunities,27,0,20,21.035265592891612,10.486354000022402,38.237564000155544,409.5925925925926,0.4570086007863111,0.0,20,23,26,29,35,36,38,38,38,38,38
GET,GET /payments,11,0,20,59.211303091201856,11.835974000860006,447.3312169993733,162.72727272727272,0.18618868920923787,0.0,20,27,31,31,31,450,450,450,450,450,450
GET,GET /payments/stats,18,0,20,57.220736833288456,10.364578000007896,649.0275550004299,151.22222222222223,0.3046724005242074,0.0,21,27,30,30,44,650,650,650,650,650,650
GET,GET /products,211,0,18,100.59649015174598,10.321464000298874,3801.7657470009,13088.322274881517,3.5714375839226538,0.0,18,22,25,27,36,210,1100,2700,3800,3800,3800
GET,GET /quotations,36,0,17,76.63616783338512,9.618805001082364,1956.5680300001986,399.02777777777777,0.6093448010484148,0.0,17,18,22,22,23,210,2000,2000,2000,2000,2000
GET,GET /quotations/stats,36,0,17,74.66901602780733,10.202706000200124,1177.4996799995279,245.0,0.6093448010484148,0.0,18,27,32,33,34,800,1200,1200,1200,1200,1200
GET,GET /reports/predefined/ar,15,0,16,29.521289066421257,9.926725999321206,167.9412979992776,288.0,0.2538936671035062,0.0,16,17,24,36,52,170,170,170,170,170,170
GET,GET /reports/predefined/inventory,8,0,22,85.84576675025346,11.352208000971586,327.0772110008693,2375.0,0.13540995578853662,0.0,23,24,250,250,330,330,330,330,330,330,330
GET,GET /reports/predefined/procurement,10,0,15,18.405468600030872,13.837713999237167,32.241147999229725,222.0,0.1692624447356708,0.0,17,18,20,25,32,32,32,32,32,32,32
GET,GET /reports/predefined/sales,14,0,20,219.05046735732216,11.23756000015419,2818.0211479993886,691.0,0.2369674226299391,0.0,22,23,23,24,30,2800,2800,2800,2800,2800,2800
GET,GET /sales-orders,127,0,16,77.34438241722968,9.603726999557693,3284.4714509992627,508.2283464566929,2.149633048143019,0.0,16,21,26,31,41,210,1500,1500,3300,3300,3300
GET,GET /sales/dashboard/alerts,13,0,14,146.08819084605784,9.90238499980478,1532.2012709984847,47.0,0.22004117815637203,0.0,14,17,23,26,200,1500,1500,1500,1500,1500,1500
GET,GET /sales/dashboard/overview,39,0,18,55.19120961542238,10.256826000841102,950.6047839986422,364.0,0.6601235344691161,0.0,18,20,26,29,40,470,950,950,950,950,950
GET,GET /sales/dashboard/trends,28,0,19,26.981854964105878,10.517218999666511,134.82006099911814,810.0,0.4739348452598782,0.0,19,26,33,33,43,67,130,130,130,130,130
GET,GET /targets/stats,12,0,17,20.594327083472308,13.053680000666645,42.28363000038371,113.0,0.20311493368280495,0.0,18,19,21,21,41,42,42,42,42,42,42
GET,GET /users,29,0,25,28.03423506896973,16.647962000206462,66.51525199958996,596.0,0.4908610897334453,0.0,25,29,31,33,50,51,67,67,67,67,67
POST,POST /auth/login,25,0,2200.0,1999.4864717999735,461.6511980002542,3521.9170130003477,301.0,0.423156111839177,0.0,2200,2600,2600,2600,3100,3100,3500,3500,3500,3500,3500
,Aggregated,1038,0,19,149.52446719847862,9.603726999557693,5267.477687999417,6523.932562620424,17.56944176356263,0.0,20,27,34,39,190,990,2400,2800,4700,5300,5300
