Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /contracts,31,0,51,151.1416178065056,16.067760000169073,2042.2222809997947,79.0,0.5247586916186823,0.0,51,64,75,75,300,630,2000,2000,2000,2000,2000
GET,GET /customers,416,0,53,462.87172871153484,10.117524000179401,16041.001727000094,17645.408653846152,7.041923087528123,0.0,53,81,110,140,260,1400,7900,11000,16000,16000,16000
GET,GET /customers (find id),77,0,42,343.30028633767495,12.014419000024645,11894.059438000113,17645.44155844156,1.303432879181888,0.0,42,60,84,97,250,340,8600,12000,12000,12000,12000
GET,GET /customers/{id},1,0,154.06465900014155,154.06465900014155,154.06465900014155,154.06465900014155,1086.0,0.01692769972963491,0.0,150,150,150,150,150,150,150,150,150,150,150
GET,GET /dashboard/kpi,58,0,43,500.56093058619496,11.233868000090297,11471.8050460001,211.0,0.9818065843188248,0.0,51,78,100,110,270,2200,11000,11000,11000,11000,11000
GET,GET /finance/reports/ap,33,0,47,339.590976363621,9.531454000352824,9155.678925999837,205.0,0.558614091077952,0.0,47,68,74,100,170,280,9200,9200,9200,9200,9200
GET,GET /finance/reports/pnl,34,34,62,674.3592826764384,23.296033999940846,8222.783960000015,949.0,0.5755417908075869,0.5755417908075869,73,97,150,220,790,6400,8200,8200,8200,8200,8200
GET,GET /health,62,0,290.0,532.0853825644683,189.9878469998839,10270.929138000156,130.0,1.0495173832373645,0.0,290,380,440,450,540,610,2700,10000,10000,10000,10000
GET,GET /inventory,239,0,93,468.0754796652624,30.167698999775894,13833.09958000018,4776.0,4.045720235382744,0.0,93,130,180,220,360,490,8200,13000,14000,14000,14000
GET,GET /invoices,33,0,52,629.4597177272243,13.424751000002288,11248.920933000136,79.0,0.558614091077952,0.0,52,79,130,150,280,7100,11000,11000,11000,11000,11000
GET,GET /opportunities,105,0,36,282.86445689525516,10.961613000290527,10104.445381999994,292.5238095238095,1.7774084716116656,0.0,36,62,92,110,270,340,3800,6600,10000,10000,10000
GET,GET /payments,44,0,67,334.51224968183107,11.669790999803809,10325.220869000077,140.0,0.7448187881039361,0.0,70,100,130,160,190,280,10000,10000,10000,10000,10000
GET,GET /payments/stats,44,0,34,308.9937460000246,14.07610600017506,10129.980294000234,151.6818181818182,0.7448187881039361,0.0,36,56,120,140,210,280,10000,10000,10000,10000,10000
GET,GET /products,570,0,49,406.8204158789448,10.624477999954252,12198.718448999898,13088.059649122806,9.648788845891898,0.0,49,78,110,130,260,1600,8700,10000,12000,12000,12000
GET,GET /quotations,107,0,40,160.24364928037178,9.541700000227138,3154.644684000232,302.0,1.8112638710709354,0.0,40,76,91,110,230,340,2000,3100,3200,3200,3200
GET,GET /quotations/stats,87,0,33,108.19621782758108,11.133568000332161,4337.701766000009,245.0,1.4727098764782371,0.0,33,50,77,82,130,210,500,4300,4300,4300,4300
GET,GET /reports/predefined/ar,11,0,55,73.02750636364925,16.626386000098137,300.6608470000174,288.0,0.18620469702598402,0.0,55,65,81,81,84,300,300,300,300,300,300
GET,GET /reports/predefined/inventory,14,0,39,73.64440728568817,16.239291000147205,221.20780599971113,2375.0,0.23698779621488875,0.0,43,54,130,160,160,220,220,220,220,220,220
GET,GET /reports/predefined/procurement,12,12,57,1178.0271343332818,20.873365000170452,13518.47876299962,988.9166666666666,0.20313239675561892,0.20313239675561892,62,66,92,92,110,14000,14000,14000,14000,14000,14000
GET,GET /reports/predefined/sales,42,42,53,275.10045773812766,23.498130000007222,6241.774007999993,965.0,0.7109633886446662,0.7109633886446662,54,75,130,150,260,420,6200,6200,6200,6200,6200
GET,GET /sales-orders,378,0,46,419.130900375661,10.084379000090848,11459.4706339999,497.984126984127,6.398670497801996,0.0,46,76,110,130,270,2600,8700,10000,11000,11000,11000
GET,GET /sales/dashboard/alerts,63,0,42,201.06956730157276,10.430862000248453,5365.524727999855,47.0,1.0664450829669994,0.0,42,59,97,130,180,250,3200,5400,5400,5400,5400
GET,GET /sales/dashboard/overview,101,0,57,510.1498961782663,11.90382699996917,13138.293468000029,364.0,1.709697672693126,0.0,57,89,110,140,280,320,7400,12000,13000,13000,13000
GET,GET /sales/dashboard/trends,48,0,48,183.63501410418812,10.381435999988753,5232.900404999782,810.0,0.8125295870224757,0.0,51,71,94,94,230,300,5200,5200,5200,5200,5200
GET,GET /targets/stats,33,0,68,674.3194047272261,12.839491999784514,7725.199581999732,113.0,0.558614091077952,0.0,68,93,220,230,610,7500,7700,7700,7700,7700,7700
GET,GET /users,92,0,51,385.6073266087024,16.445480000129464,10981.699062999724,596.0,1.5573483751264117,0.0,52,72,93,120,220,330,9700,11000,11000,11000,11000
POST,POST /auth/login,100,0,12000.0,10198.5232625,2194.80092699996,17764.085564999732,301.0,1.692769972963491,0.0,12000,13000,14000,14000,15000,16000,18000,18000,18000,18000,18000
,Aggregated,2835,88,56,742.7276455544948,9.531454000352824,17764.085564999732,6316.689594356261,47.99002873351497,1.4896375762078722,56,92,130,190,390,6400,12000,14000,17000,18000,18000
