Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1780451987,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1780451988,10,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1780451989,20,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1780451990,30,,Aggregated,0.000000,0.000000,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,10,0,2200.0,2208.853492399976,2194.80092699996,2231.588876999922,301.0
1780451991,40,,Aggregated,0.000000,0.000000,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,10,0,2200.0,2208.853492399976,2194.80092699996,2231.588876999922,301.0
1780451992,50,,Aggregated,0.000000,0.000000,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,10,0,2200.0,2208.853492399976,2194.80092699996,2231.588876999922,301.0
1780451993,60,,Aggregated,3.333333,0.000000,3400,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,24,0,3200.0,3254.407682708347,2194.80092699996,4327.742017000219,308.375
1780451994,70,,Aggregated,2.500000,0.000000,3400,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,25,0,3400.0,3292.4869533200213,2194.80092699996,4327.742017000219,1001.84
1780451995,80,,Aggregated,2.000000,0.000000,3400,4300,4300,4300,4300,4300,5400,5400,5400,5400,5400,26,0,3400.0,3372.219175423092,2194.80092699996,5365.524727999855,965.1153846153846
1780451996,90,,Aggregated,4.000000,0.000000,3400,4300,4300,4300,4300,5400,6500,6500,6500,6500,6500,27,0,3400.0,3487.1047451852064,2194.80092699996,6474.1295590001755,1414.111111111111
1780451997,100,,Aggregated,4.000000,0.000000,3400,4300,4300,4300,4300,5400,6500,6500,6500,6500,6500,27,0,3400.0,3487.1047451852064,2194.80092699996,6474.1295590001755,1414.111111111111
1780451998,100,,Aggregated,3.000000,0.000000,4300,4300,7700,7700,8200,8700,8700,8700,8700,8700,8700,37,1,4300.0,4748.862763513542,2194.80092699996,8729.093196000122,1602.081081081081
1780451999,100,,Aggregated,2.700000,0.000000,4300,7900,8400,8700,9200,9600,9800,9800,9800,9800,9800,49,1,4300.0,5765.26518361227,2194.80092699996,9843.153239000003,1281.4897959183672
1780452000,100,,Aggregated,2.700000,0.000000,6500,8100,8600,8700,9600,10000,10000,11000,11000,11000,11000,53,1,6500.0,6064.817105754749,2194.80092699996,10514.652905000275,1207.4905660377358
1780452001,100,,Aggregated,2.700000,0.000000,6500,8100,8600,8700,9600,10000,10000,11000,11000,11000,11000,53,1,6500.0,6064.817105754749,2194.80092699996,10514.652905000275,1207.4905660377358
1780452002,100,,Aggregated,4.400000,0.100000,7600,8200,8700,8800,9700,10000,10000,11000,11000,11000,11000,55,1,7600.0,6191.014933854587,2194.80092699996,10514.652905000275,1177.7272727272727
1780452003,100,,Aggregated,4.300000,0.100000,7700,8700,9200,9600,10000,11000,11000,11000,11000,11000,11000,61,1,7700.0,6610.207756508227,2194.80092699996,11164.53211199996,1378.704918032787
1780452004,100,,Aggregated,4.300000,0.100000,8100,9200,9800,10000,11000,11000,11000,12000,12000,12000,12000,69,1,8100.0,7145.144806333347,2194.80092699996,11513.281610999911,2130.086956521739
1780452005,100,,Aggregated,3.700000,0.100000,8600,9800,11000,11000,12000,14000,14000,14000,14000,14000,14000,79,1,8600.0,7888.928085556971,2194.80092699996,13863.574680000056,2118.1012658227846
1780452006,100,,Aggregated,4.400000,0.100000,8700,10000,11000,11000,13000,14000,14000,14000,14000,14000,14000,85,2,8700.0,8220.22802017648,2194.80092699996,13863.574680000056,2201.964705882353
1780452007,100,,Aggregated,5.100000,0.100000,9600,11000,12000,12000,13000,14000,14000,14000,14000,14000,14000,99,2,9600.0,8791.996082858599,2194.80092699996,13951.256629999989,2458.5252525252527
1780452008,100,,Aggregated,5.100000,0.100000,9800,11000,12000,12000,13000,14000,14000,14000,15000,15000,15000,103,2,9800.0,8938.437415116521,2194.80092699996,14605.755482999939,2498.883495145631
1780452009,100,,Aggregated,6.600000,0.200000,10000,11000,12000,13000,14000,14000,15000,15000,15000,15000,15000,118,2,10000.0,9382.520609449162,2194.80092699996,14970.542100999864,2438.3474576271187
1780452010,100,,Aggregated,7.000000,0.100000,10000,12000,13000,13000,14000,14000,15000,16000,17000,17000,17000,145,2,10000.0,9572.157754531041,2194.80092699996,16557.48824400007,2845.6
1780452011,100,,Aggregated,6.300000,0.100000,10000,11000,12000,13000,14000,15000,16000,18000,18000,18000,18000,186,2,9900.0,9258.875121209678,1810.7962379999663,17764.085564999732,3750.8064516129034
1780452012,100,,Aggregated,8.900000,0.100000,6400,9800,11000,12000,14000,14000,16000,17000,18000,18000,18000,284,7,6200.0,6646.514349623242,12.778885999978229,17764.085564999732,4657.644366197183
1780452013,100,,Aggregated,11.800000,0.100000,4100,8100,10000,11000,13000,14000,15000,16000,18000,18000,18000,353,10,4100.0,5361.346414560898,10.624477999954252,17764.085564999732,4874.198300283286
1780452014,100,,Aggregated,21.100000,0.600000,1800,5500,8800,10000,13000,14000,15000,16000,18000,18000,18000,436,11,1800.0,4357.795727022921,10.430862000248453,17764.085564999732,5317.7408256880735
1780452015,100,,Aggregated,28.500000,0.900000,330,4300,7700,9700,12000,14000,15000,16000,18000,18000,18000,508,13,320.0,3750.1976039566784,10.430862000248453,17764.085564999732,5449.7342519685035
1780452016,100,,Aggregated,34.300000,1.000000,120,2200,5500,8200,12000,14000,15000,16000,18000,18000,18000,595,17,120.0,3212.547605299143,10.430862000248453,17764.085564999732,5659.618487394958
1780452017,100,,Aggregated,41.500000,1.200000,100,890,4300,7100,11000,13000,15000,15000,18000,18000,18000,670,19,100.0,2859.8500694790905,10.286680999797682,17764.085564999732,5737.777611940299
1780452018,100,,Aggregated,48.500000,1.500000,91,440,3700,5700,11000,13000,14000,15000,18000,18000,18000,731,21,91,2627.1713881559367,10.286680999797682,17764.085564999732,5891.7277701778385
1780452019,100,,Aggregated,55.000000,1.600000,79,180,2200,4300,10000,13000,14000,15000,18000,18000,18000,815,23,79,2362.2036059128686,10.286680999797682,17764.085564999732,5863.527607361963
1780452020,100,,Aggregated,60.900000,1.800000,78,140,1000,3800,10000,13000,14000,15000,18000,18000,18000,896,25,78,2155.767489100433,10.286680999797682,17764.085564999732,6099.434151785715
1780452021,100,,Aggregated,68.300000,2.000000,72,130,580,2600,9800,12000,14000,15000,18000,18000,18000,968,26,72,1998.3462714607317,10.286680999797682,17764.085564999732,6150.8109504132235
1780452022,100,,Aggregated,72.600000,2.300000,68,120,300,2200,9500,12000,14000,15000,18000,18000,18000,1048,27,68,1850.6279860963666,10.286680999797682,17764.085564999732,6075.903625954198
1780452023,100,,Aggregated,78.200000,2.400000,71,120,240,900,8700,12000,14000,15000,18000,18000,18000,1123,28,71,1736.6042054363245,10.286680999797682,17764.085564999732,6087.816562778273
1780452024,100,,Aggregated,75.400000,2.000000,67,110,210,610,8100,12000,14000,15000,18000,18000,18000,1201,30,67,1627.6035195570294,10.286680999797682,17764.085564999732,6128.4379683597
1780452025,100,,Aggregated,75.600000,1.800000,63,100,180,440,7700,12000,14000,15000,18000,18000,18000,1269,33,63,1542.7467518211129,10.286680999797682,17764.085564999732,6157.615445232466
1780452026,100,,Aggregated,76.600000,1.800000,68,120,220,350,6900,11000,14000,15000,18000,18000,18000,1348,36,68,1465.3574005185403,10.286680999797682,17764.085564999732,6169.511127596439
1780452027,100,,Aggregated,76.500000,2.000000,71,120,220,330,6400,11000,14000,14000,18000,18000,18000,1403,36,71,1414.5081471468213,10.286680999797682,17764.085564999732,6197.703492516037
1780452028,100,,Aggregated,76.500000,1.900000,76,140,260,330,5700,11000,14000,14000,18000,18000,18000,1480,38,76,1357.0544449614808,10.286680999797682,17764.085564999732,6215.523648648648
1780452029,100,,Aggregated,73.800000,1.800000,78,150,250,300,4800,11000,13000,14000,18000,18000,18000,1557,41,78,1296.6016222016656,10.286680999797682,17764.085564999732,6248.408477842004
1780452030,100,,Aggregated,73.800000,1.700000,74,140,230,290,4300,10000,13000,14000,18000,18000,18000,1629,42,74,1241.210538219148,10.286680999797682,17764.085564999732,6231.96685082873
1780452031,100,,Aggregated,72.200000,1.700000,73,130,220,280,4300,10000,13000,14000,18000,18000,18000,1688,43,73,1199.8365968163446,10.286680999797682,17764.085564999732,6258.592417061612
1780452032,100,,Aggregated,73.400000,1.600000,74,130,210,270,3800,10000,13000,14000,18000,18000,18000,1786,49,74,1138.82048201567,9.541700000227138,17764.085564999732,6323.538073908175
1780452033,100,,Aggregated,71.900000,1.700000,74,130,200,260,3300,10000,13000,14000,18000,18000,18000,1860,53,74,1097.0706074951559,9.541700000227138,17764.085564999732,6314.597849462366
1780452034,100,,Aggregated,73.400000,2.000000,72,130,200,260,2800,9900,13000,14000,18000,18000,18000,1911,54,72,1070.1391083694352,9.541700000227138,17764.085564999732,6323.543171114599
1780452035,100,,Aggregated,72.500000,2.200000,72,120,190,260,2200,9700,13000,14000,17000,18000,18000,2007,57,72,1023.7440773617325,9.541700000227138,17764.085564999732,6322.74788241156
1780452036,100,,Aggregated,72.100000,2.500000,70,120,180,250,2200,9500,13000,14000,17000,18000,18000,2083,60,70,988.578977671147,9.541700000227138,17764.085564999732,6289.048967834854
