Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /contracts,14,0,21,23.956284857052065,13.232578999577527,53.55068700009724,79.0,0.23693600503822526,0.0,21,23,25,34,40,54,54,54,54,54,54
GET,GET /customers,153,0,19,71.46223256208911,10.012841999923694,2375.664049000079,17645.0,2.589372055060605,0.0,19,23,26,29,38,150,1200,1200,2400,2400,2400
GET,GET /customers (find id),31,0,23,65.12324170963409,11.823337999885553,1281.4406899997266,17645.0,0.5246440111560703,0.0,23,27,31,33,35,60,1300,1300,1300,1300,1300
GET,GET /dashboard/kpi,13,0,18,307.6677237691351,12.09149999976944,3767.113791999691,211.0,0.22001200467835205,0.0,18,22,28,29,30,3800,3800,3800,3800,3800,3800
GET,GET /finance/reports/ap,19,0,19,85.90928752638368,13.31405500013716,1203.666672000054,205.0,0.32155600683759145,0.0,19,30,36,36,37,1200,1200,1200,1200,1200,1200
GET,GET /finance/reports/pnl,11,11,34,33.91488818186355,23.90958799969667,43.627711000226554,949.0,0.18616400395860558,0.18616400395860558,34,38,39,39,42,44,44,44,44,44,44
GET,GET /health,19,0,240.0,283.0401905789825,213.21849300011309,520.3381579999586,129.0,0.32155600683759145,0.0,240,270,360,360,450,520,520,520,520,520,520
GET,GET /inventory,103,0,50,114.74758454366645,30.239245999837294,3679.8373300002822,4776.0,1.743172037066943,0.0,50,60,65,69,82,110,140,2400,3700,3700,3700
GET,GET /invoices,13,0,26,35.338057538515734,10.814830000072106,163.57834900009038,79.0,0.22001200467835205,0.0,26,29,32,32,50,160,160,160,160,160,160
GET,GET /opportunities,35,0,21,112.64255599997861,13.147742000001017,2379.4334869999147,252.0,0.5923400125955632,0.0,21,28,35,45,59,640,2400,2400,2400,2400,2400
GET,GET /payments,15,0,20,23.273549533344823,10.619155999847862,38.662308000311896,156.66666666666666,0.2538600053980985,0.0,20,27,30,34,38,39,39,39,39,39,39
GET,GET /payments/stats,25,0,21,32.20286927999041,10.871671000131755,174.4957420000901,151.44,0.42310000899683087,0.0,21,23,23,31,52,120,170,170,170,170,170
GET,GET /products,238,0,20,74.19620329412527,10.405629000160843,2779.2060410001795,13088.0,4.02791208564983,0.0,20,24,27,30,39,55,1300,2500,2800,2800,2800
GET,GET /quotations,29,0,19,20.613912172424975,11.277475000042614,49.69063399994411,302.0,0.49079601043632376,0.0,19,22,25,26,30,40,50,50,50,50,50
GET,GET /quotations/stats,37,0,18,18.760862243259513,9.976545999961672,38.28376199999184,245.0,0.6261880133153096,0.0,18,21,21,22,27,35,38,38,38,38,38
GET,GET /reports/predefined/ar,4,0,20,21.64827475007769,12.981238000065787,29.164574000333232,288.0,0.06769600143949293,0.0,24,24,29,29,29,29,29,29,29,29,29
GET,GET /reports/predefined/inventory,4,0,19,25.27570449990435,18.754830000034417,41.20558099975824,2375.0,0.06769600143949293,0.0,22,22,41,41,41,41,41,41,41,41,41
GET,GET /reports/predefined/procurement,7,7,36,41.5147951427051,22.951637999995,77.88486899971758,989.7142857142857,0.11846800251911263,0.11846800251911263,36,38,46,46,78,78,78,78,78,78,78
GET,GET /reports/predefined/sales,12,12,35,37.65395924991329,23.89625600017098,53.6184909997246,965.9166666666666,0.20308800431847882,0.20308800431847882,40,40,45,45,48,54,54,54,54,54,54
GET,GET /sales-orders,141,0,20,46.74834079434783,10.878086000047915,1726.808145999712,477.0,2.386284050742126,0.0,20,23,24,27,33,42,180,1700,1700,1700,1700
GET,GET /sales/dashboard/alerts,24,0,19,22.132691749978523,9.226026000305865,40.63207600029273,47.0,0.40617600863695763,0.0,21,27,30,32,36,37,41,41,41,41,41
GET,GET /sales/dashboard/overview,52,0,19,24.459768346122683,9.686421999958839,155.37219799989543,364.0,0.8800480187134082,0.0,20,23,26,29,39,44,66,160,160,160,160
GET,GET /sales/dashboard/trends,16,0,20,92.83139025001219,13.927582000178518,1150.8324810001795,810.0,0.27078400575797174,0.0,20,24,31,31,36,1200,1200,1200,1200,1200,1200
GET,GET /targets/stats,16,0,21,195.2653433750129,11.836236999897665,2788.408458000049,113.0,0.27078400575797174,0.0,22,27,31,31,35,2800,2800,2800,2800,2800,2800
GET,GET /users,26,0,29,174.57760149991722,18.33494599986807,2541.534362999755,596.0,0.4400240093567041,0.0,30,34,37,37,89,1200,2500,2500,2500,2500,2500
POST,POST /auth/login,25,0,1800.0,1791.4575795999917,1016.6184470003827,2833.5468919999585,301.0,0.42310000899683087,0.0,1800,2100,2100,2200,2200,2300,2800,2800,2800,2800,2800
,Aggregated,1082,30,22,114.83935945101223,9.226026000305865,3767.113791999691,6527.047134935305,18.311768389382838,0.507720010796197,22,29,35,40,63,360,1800,2400,3700,3800,3800
