Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /contracts,81,0,18,21.130325024707282,9.633187999952497,123.1085859999439,79.0,0.2703738785706743,0.0,18,20,22,24,29,35,120,120,120,120,120
GET,GET /customers,767,0,17,33.146049943935196,8.834731999741052,2217.8734550002446,17645.0443285528,2.560206973626015,0.0,17,20,23,24,32,38,50,200,2200,2200,2200
GET,GET /customers (find id),183,0,18,20.488286677572844,9.607821999907173,125.61476800010496,17645.0,0.6108446886226345,0.0,18,20,23,24,31,38,56,70,130,130,130
GET,GET /dashboard/kpi,119,0,17,29.561077428584326,9.606751999854168,1172.188460000143,211.0,0.3972159450606203,0.0,17,21,23,26,34,42,49,90,1200,1200,1200
GET,GET /finance/reports/ap,77,0,18,22.6437504675173,11.367815000085102,182.4346600001263,205.0,0.25702208209804844,0.0,18,21,25,27,34,41,47,180,180,180,180
GET,GET /finance/reports/pnl,71,71,27,29.834327183104673,17.609768000056647,86.89098100012416,949.0,0.23699438738910958,0.23699438738910958,27,31,32,34,42,47,49,87,87,87,87
GET,GET /health,138,0,220.0,240.33833475365117,177.75500299967462,867.3600850002003,130.0,0.46063697830559325,0.0,220,230,240,250,270,440,460,500,870,870,870
GET,GET /inventory,524,0,41,48.36181034541556,26.473275999705947,888.9471879997473,4776.0,1.749085337913992,0.0,41,45,50,53,60,72,150,210,890,890,890
GET,GET /invoices,59,0,18,39.058724033943925,9.692074000213324,1116.1660910001956,79.0,0.1969389979712319,0.0,18,22,24,25,33,50,58,1100,1100,1100,1100
GET,GET /opportunities,189,0,17,22.42155358200964,9.65158999997584,650.2721339998061,274.5132275132275,0.6308723833315734,0.0,17,19,22,24,31,38,47,53,650,650,650
GET,GET /payments,82,0,16,22.27453606096566,8.786142999724689,180.01237599992237,143.0487804878049,0.2737118276888308,0.0,16,20,21,24,42,50,78,180,180,180,180
GET,GET /payments/stats,106,0,16,18.699876547179024,9.446758999729354,45.26083100017786,151.33962264150944,0.35382260652458614,0.0,16,19,22,24,30,37,41,44,45,45,45
GET,GET /products,1295,0,17,23.960112749035062,9.074525999949401,1357.918998999594,13088.026254826254,4.322644108012632,0.0,17,21,23,25,32,39,47,89,1200,1400,1400
GET,GET /quotations,206,0,16,28.724549873777065,9.400397000263183,1506.2103519999255,318.95631067961165,0.6876175183402334,0.0,16,20,22,24,32,38,48,140,1500,1500,1500
GET,GET /quotations/stats,202,0,17,39.73949666832334,9.704477000013867,1837.28896599996,245.0,0.6742657218676076,0.0,17,20,22,24,32,37,62,1200,1800,1800,1800
GET,GET /reports/predefined/ar,42,0,18,78.99397714288084,10.66225900012796,2459.795750000012,288.0,0.14019386296257186,0.0,19,25,25,27,34,35,2500,2500,2500,2500,2500
GET,GET /reports/predefined/inventory,43,0,21,24.065739465122746,10.437070999614662,49.96007499994448,2375.0,0.14353181208072835,0.0,21,26,30,34,39,48,50,50,50,50,50
GET,GET /reports/predefined/procurement,29,29,25,30.191827068988616,17.30987600012668,54.667361000156234,989.6896551724138,0.09680052442653772,0.09680052442653772,25,32,34,40,50,53,55,55,55,55,55
GET,GET /reports/predefined/sales,67,67,29,51.222944552198136,17.248812000161706,1358.2865719999972,965.5970149253732,0.2236425909164837,0.2236425909164837,29,33,35,38,44,58,66,1400,1400,1400,1400
GET,GET /sales-orders,748,0,17,32.48108069919604,8.34533699980966,1842.8791930000443,482.30213903743316,2.496785940381042,0.0,17,20,22,24,30,38,49,1100,1800,1800,1800
GET,GET /sales/dashboard/alerts,112,0,16,19.82518188393507,9.02766099989094,55.85114999985308,47.0,0.373850301233525,0.0,17,20,22,23,33,42,54,56,56,56,56
GET,GET /sales/dashboard/overview,218,0,17,19.331002289013544,9.291864999795507,135.11281499995675,364.0,0.7276729077581111,0.0,17,19,21,23,29,38,53,66,140,140,140
GET,GET /sales/dashboard/trends,107,0,18,19.072191000020133,10.038929000074859,54.35033999992811,810.0,0.3571605556427426,0.0,18,20,21,23,30,32,37,42,54,54,54
GET,GET /targets/stats,83,0,16,25.17488474700532,9.470009000324353,461.34074499968847,113.0,0.2770497768069873,0.0,16,19,22,25,36,43,110,460,460,460,460
GET,GET /users,177,0,24,25.870029649717264,13.738218000071356,56.09067399973355,596.0,0.5908169939136957,0.0,24,27,29,32,38,45,50,53,56,56,56
POST,POST /auth/login,25,0,1600.0,1516.6215738799656,1123.0858009998883,1884.1310060001888,301.0,0.08344872795391182,0.0,1600,1700,1800,1900,1900,1900,1900,1900,1900,1900,1900
,Aggregated,5750,167,19,41.410587961044556,8.34533699980966,2459.795750000012,6505.841043478261,19.19320742939972,0.557437502732131,19,24,29,33,43,61,230,460,1900,2500,2500
