Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1780451655,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1780451656,5,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1780451657,10,,Aggregated,0.000000,0.000000,1100,1100,1100,1200,1200,1200,1200,1200,1200,1200,1200,5,0,1123.0858009998883,1131.1969987999873,1123.0858009998883,1157.1639230000983,301.0
1780451658,15,,Aggregated,0.000000,0.000000,1100,1200,1200,1200,1200,1300,1300,1300,1300,1300,1300,15,0,1113.3108389999506,1165.4300996666582,1113.3108389999506,1253.4698599997682,1477.6666666666667
1780451659,20,,Aggregated,0.000000,0.000000,1200,1400,1400,1600,1600,1600,1600,1600,1600,1600,1600,23,0,1200.0,1279.695118913028,1113.3108389999506,1579.0810150001562,2386.086956521739
1780451660,25,,Aggregated,1.666667,0.000000,1300,1600,1600,1700,1800,2200,2500,2500,2500,2500,2500,38,1,1200.0,1406.426433973677,1113.3108389999506,2459.795750000012,3298.3684210526317
1780451661,25,,Aggregated,3.750000,0.000000,1200,1600,1700,1800,1900,1900,2200,2500,2500,2500,2500,55,1,1200.0,1390.1583179817862,461.34074499968847,2459.795750000012,3462.836363636364
1780451662,25,,Aggregated,4.600000,0.000000,1200,1300,1600,1600,1900,1900,2200,2500,2500,2500,2500,76,1,1200.0,1036.828660328913,11.707457999818871,2459.795750000012,4464.631578947368
1780451663,25,,Aggregated,6.333333,0.166667,1100,1200,1400,1600,1800,1900,2200,2500,2500,2500,2500,96,3,1100.0,825.5162148124809,10.132478999821615,2459.795750000012,4608.0
1780451664,25,,Aggregated,8.571429,0.142857,190,1200,1200,1400,1800,1900,1900,2200,2500,2500,2500,117,3,190.0,681.8627648375867,10.132478999821615,2459.795750000012,5456.48717948718
1780451665,25,,Aggregated,9.500000,0.125000,48,1100,1200,1200,1700,1900,1900,2200,2500,2500,2500,137,3,48,590.1992329488902,10.132478999821615,2459.795750000012,6106.554744525547
1780451666,25,,Aggregated,10.666667,0.333333,37,890,1200,1200,1600,1900,1900,2200,2500,2500,2500,153,3,37,530.4076921241625,10.132478999821615,2459.795750000012,6330.9477124183
1780451667,25,,Aggregated,11.700000,0.300000,30,250,1100,1200,1600,1800,1900,2200,2500,2500,2500,172,3,28,474.2079414360177,10.132478999821615,2459.795750000012,6220.877906976744
1780451669,25,,Aggregated,13.700000,0.300000,28,120,1100,1200,1600,1800,1900,2200,2500,2500,2500,196,3,27,421.07659275507774,10.132478999821615,2459.795750000012,6244.316326530612
1780451670,25,,Aggregated,15.300000,0.300000,25,48,650,1100,1400,1800,1900,1900,2500,2500,2500,213,3,25,389.2562244835491,10.132478999821615,2459.795750000012,6314.380281690141
1780451671,25,,Aggregated,16.700000,0.300000,25,44,330,1100,1400,1800,1900,1900,2500,2500,2500,232,4,25,360.2605655991209,10.132478999821615,2459.795750000012,6200.060344827586
1780451672,25,,Aggregated,18.100000,0.300000,25,41,190,1100,1300,1700,1900,1900,2500,2500,2500,252,5,25,333.7305609126816,10.132478999821615,2459.795750000012,6285.063492063492
1780451673,25,,Aggregated,19.000000,0.300000,23,39,120,470,1200,1700,1900,1900,2500,2500,2500,272,5,22,311.23739395586585,10.132478999821615,2459.795750000012,6291.1875
1780451674,25,,Aggregated,19.400000,0.300000,22,34,56,330,1200,1700,1900,1900,2500,2500,2500,289,5,22,293.99024427334126,9.501946999989741,2459.795750000012,6266.937716262976
1780451675,25,,Aggregated,19.200000,0.400000,21,32,47,220,1200,1600,1900,1900,2500,2500,2500,312,5,21,274.5877960288313,9.501946999989741,2459.795750000012,6200.75641025641
1780451676,25,,Aggregated,19.300000,0.200000,21,34,46,130,1200,1600,1900,1900,2500,2500,2500,333,6,21,259.2803415465341,9.501946999989741,2459.795750000012,6415.558558558559
1780451677,25,,Aggregated,19.300000,0.200000,22,34,45,120,1200,1600,1900,1900,2500,2500,2500,349,6,22,249.2915263724795,9.501946999989741,2459.795750000012,6358.45558739255
1780451678,25,,Aggregated,19.500000,0.200000,21,31,43,61,1200,1600,1900,1900,2500,2500,2500,373,6,21,234.69115096245542,9.501946999989741,2459.795750000012,6508.498659517426
1780451679,25,,Aggregated,19.600000,0.300000,21,30,41,56,1200,1600,1900,1900,2500,2500,2500,389,6,21,225.9053062030756,9.501946999989741,2459.795750000012,6652.442159383034
1780451680,25,,Aggregated,19.600000,0.300000,21,31,41,51,1200,1500,1800,1900,2500,2500,2500,408,7,21,216.75520782842568,9.501946999989741,2459.795750000012,6621.963235294118
1780451681,25,,Aggregated,19.200000,0.300000,21,31,41,48,1100,1400,1800,1900,2500,2500,2500,433,7,21,206.43448953117266,9.501946999989741,2459.795750000012,6794.4896073903
1780451682,25,,Aggregated,19.200000,0.300000,22,32,41,48,1100,1400,1800,1900,2500,2500,2500,452,8,22,199.54528264158657,9.501946999989741,2459.795750000012,6683.787610619469
1780451683,25,,Aggregated,19.500000,0.400000,22,31,41,48,1100,1400,1800,1900,2500,2500,2500,472,9,22,192.59190650846688,9.501946999989741,2459.795750000012,6654.252118644068
1780451684,25,,Aggregated,19.900000,0.300000,22,31,40,47,1100,1400,1800,1900,2500,2500,2500,492,10,22,185.64618561381303,9.501946999989741,2459.795750000012,6495.676829268293
1780451685,25,,Aggregated,20.000000,0.400000,22,31,40,46,950,1300,1800,1900,2500,2500,2500,513,10,22,179.37415923975956,9.501946999989741,2459.795750000012,6392.194931773879
1780451686,25,,Aggregated,20.300000,0.500000,22,30,40,45,890,1300,1800,1900,2500,2500,2500,530,10,21,174.4267783282962,9.501946999989741,2459.795750000012,6480.583018867925
1780451687,25,,Aggregated,20.300000,0.500000,21,30,39,45,470,1200,1800,1900,2500,2500,2500,544,10,21,170.43068704595098,9.501946999989741,2459.795750000012,6488.371323529412
1780451688,25,,Aggregated,20.000000,0.400000,21,30,39,45,450,1200,1800,1900,2500,2500,2500,564,11,21,165.33310195921538,9.501946999989741,2459.795750000012,6544.762411347518
1780451689,25,,Aggregated,20.000000,0.400000,21,30,38,44,330,1200,1800,1900,2500,2500,2500,580,12,21,161.40574360689092,9.501946999989741,2459.795750000012,6544.8431034482755
1780451690,25,,Aggregated,19.000000,0.500000,21,30,37,42,260,1200,1700,1900,2500,2500,2500,604,13,21,155.9695595281394,9.501946999989741,2459.795750000012,6634.082781456954
1780451691,25,,Aggregated,19.200000,0.600000,21,29,37,42,240,1200,1700,1900,2500,2500,2500,621,13,21,152.7062035362277,9.501946999989741,2459.795750000012,6635.219001610306
1780451692,25,,Aggregated,19.200000,0.600000,21,29,37,42,230,1200,1700,1900,2500,2500,2500,639,13,21,148.98187550547064,9.501946999989741,2459.795750000012,6654.826291079812
1780451693,25,,Aggregated,19.500000,0.600000,21,29,36,41,230,1200,1700,1900,2500,2500,2500,660,13,21,144.84269045453976,9.501946999989741,2459.795750000012,6663.359090909091
1780451694,25,,Aggregated,18.900000,0.600000,21,28,36,41,220,1200,1700,1900,2500,2500,2500,679,13,21,141.33452481295362,9.501946999989741,2459.795750000012,6642.874815905744
1780451695,25,,Aggregated,18.700000,0.500000,21,28,36,40,190,1200,1700,1900,2500,2500,2500,701,14,21,137.5717400342324,9.501946999989741,2459.795750000012,6712.099857346648
