Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /contracts,6,0,16,62.19134483277836,11.147727000206942,300.4586349998135,79.0,0.20675095810301292,0.0,17,17,18,18,300,300,300,300,300,300,300
GET,GET /customers,24,0,17,35.06020524946507,10.667036000086227,381.2905419981689,17646.416666666668,0.8270038324120517,0.0,17,19,30,32,35,42,380,380,380,380,380
GET,GET /customers (find id),11,0,16,19.445727545230923,12.160188998677768,44.65456300022197,17645.0,0.37904342318885703,0.0,16,20,20,20,30,45,45,45,45,45,45
GET,GET /dashboard/kpi,5,0,53,63.416954199783504,10.899643999437103,152.18006600116496,211.0,0.17229246508584412,0.0,53,53,53,150,150,150,150,150,150,150,150
GET,GET /finance/reports/ap,2,0,18,23.603885500051547,17.828829000791302,29.37894199931179,205.0,0.06891698603433764,0.0,29,29,29,29,29,29,29,29,29,29,29
GET,GET /finance/reports/pnl,3,0,13,407.3703056674276,12.86351700036903,1196.2731910025468,204.0,0.10337547905150646,0.0,13,13,1200,1200,1200,1200,1200,1200,1200,1200,1200
GET,GET /health,4,0,210.53864400164457,223.1887235002432,210.53864400164457,245.5405159998918,129.0,0.1378339720686753,0.0,220,220,250,250,250,250,250,250,250,250,250
GET,GET /inventory,19,0,49,49.88320463177699,31.50777400151128,81.6788150004868,4776.0,0.6547113673262076,0.0,49,53,57,61,77,82,82,82,82,82,82
GET,GET /invoices,2,0,17.38135699997656,19.289801999548217,17.38135699997656,21.198246999119874,79.0,0.06891698603433764,0.0,21,21,21,21,21,21,21,21,21,21,21
GET,GET /opportunities,6,0,13,201.874385999569,9.679734997916967,1149.7134839992214,252.0,0.20675095810301292,0.0,13,13,16,16,1100,1100,1100,1100,1100,1100,1100
GET,GET /payments,2,0,12,22.713096499501262,11.598430999583798,33.827761999418726,265.0,0.06891698603433764,0.0,34,34,34,34,34,34,34,34,34,34,34
GET,GET /payments/stats,5,0,27,23.118106000038097,10.851356000785017,29.024966999713797,149.2,0.17229246508584412,0.0,27,28,28,29,29,29,29,29,29,29,29
GET,GET /products,44,0,15,26.281138295830303,10.539532002439955,360.6825419992674,13088.772727272728,1.5161736927554281,0.0,16,19,20,21,33,41,360,360,360,360,360
GET,GET /quotations,5,0,16,20.400021800014656,10.062057997856755,33.06631700252183,1000.6,0.17229246508584412,0.0,16,31,31,33,33,33,33,33,33,33,33
GET,GET /quotations/stats,9,0,13,14.940926111093075,11.285828000836773,20.674764000432333,245.0,0.3101264371545194,0.0,13,17,18,18,21,21,21,21,21,21,21
GET,GET /reports/predefined/ar,2,0,22.286774998065084,31.49257949917228,22.286774998065084,40.698384000279475,288.0,0.06891698603433764,0.0,41,41,41,41,41,41,41,41,41,41,41
GET,GET /reports/predefined/inventory,1,0,34.811864999937825,34.811864999937825,34.811864999937825,34.811864999937825,2375.0,0.03445849301716882,0.0,35,35,35,35,35,35,35,35,35,35,35
GET,GET /reports/predefined/sales,4,0,18,22.544120751263108,13.920566001615953,30.205331000615843,691.0,0.1378339720686753,0.0,28,28,30,30,30,30,30,30,30,30,30
GET,GET /sales-orders,37,0,18,137.99749659449083,10.077572998852702,1768.2492650019412,584.1891891891892,1.2749642416352465,0.0,18,21,21,27,290,1200,1800,1800,1800,1800,1800
GET,GET /sales/dashboard/alerts,1,0,18.521531997976126,18.521531997976126,18.521531997976126,18.521531997976126,47.0,0.03445849301716882,0.0,19,19,19,19,19,19,19,19,19,19,19
GET,GET /sales/dashboard/overview,8,0,15,18.78986525025539,10.85872799740173,49.60010599825182,364.0,0.2756679441373506,0.0,15,17,18,18,50,50,50,50,50,50,50
GET,GET /sales/dashboard/trends,4,0,14,32.04778025065025,10.979614999087062,83.22152700202423,810.0,0.1378339720686753,0.0,20,20,83,83,83,83,83,83,83,83,83
GET,GET /targets/stats,3,0,13,15.433562667264292,11.849747999804094,21.595748999970965,113.0,0.10337547905150646,0.0,13,13,22,22,22,22,22,22,22,22,22
GET,GET /users,10,0,26,26.0818939004821,21.456638001836836,35.272090000944445,596.0,0.34458493017168823,0.0,26,26,27,28,35,35,35,35,35,35,35
POST,POST /auth/login,10,0,1100.0,1072.2243420004816,319.688274001237,1354.8254580018693,301.0,0.34458493017168823,0.0,1200,1200,1200,1200,1400,1400,1400,1400,1400,1400,1400
,Aggregated,227,0,19,106.95767363001367,9.679734997916967,1768.2492650019412,5904.484581497797,7.8220779148973225,0.0,19,27,35,44,210,1100,1200,1200,1800,1800,1800
